"provinsi","kode_prov","Kategori","kode_kategori","Output","Persentase Permintaan Antara Intraregional","Persentase Permintaan Antara Interregional","Persentase Permintaan Akhir Intraregional","Persentase Permintaan Akhir Interregional","Angka Pengganda Output Intraregional","Angka Pengganda Output Interreginal","Angka Pengganda Pendapatan Intraregional","Angka Pengganda Pendapatan interregional"
"Aceh","11","Pertanian, Kehutanan, dan Perikanan","A","46313790.052078","59.318541742406","40.681458257594","78.365233010329","21.634766989671","1.2283252637496","0.15167062751074","0.39187579699127","0.028873414200903"
"Aceh","11","Pertambangan dan Penggalian ","B","9260730.7877661","69.132355206349","30.867644793651","67.000987771799","32.999012228201","1.3866504187164","0.19491166787369","0.24046560810563","0.038951933201473"
"Aceh","11","Industri Pengolahan","C","24884923.425125","74.649925884453","25.350074115547","79.208245304832","20.791754695168","1.6594717668556","0.34094652911396","0.29187715099159","0.063116045190425"
"Aceh","11","Pengadaan Listrik dan Gas","D","7425678.9790486","95.525374562884","4.4746254371157","96.574214231693","3.425785768307","2.5513433751294","1.0563551043879","0.15145159901086","0.17637549467305"
"Aceh","11","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","E","496731.01459888","80.825103999095","19.174896000906","77.02076508206","22.97923491794","1.5936999657192","0.35270292312729","0.2559019336616","0.067249134866086"
"Aceh","11","Konstruksi","F","30228172.084784","99.476771775988","0.52322822401176","99.859845013417","0.14015498658252","1.5353203514439","0.41454692922724","0.24409254880704","0.08038672458926"
"Aceh","11","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","G","28201126.372066","81.55836561412","18.44163438588","87.960895562766","12.039104437234","1.3375556770515","0.19389946974732","0.37206165843421","0.038527019818979"
"Aceh","11","Transportasi dan Pergudangan ","H","11530661.672356","83.630692137732","16.369307862268","78.859222121859","21.140777878141","1.3924404574504","0.58298193890627","0.19849474905155","0.11189228686158"
"Aceh","11","Penyediaan Akomodasi dan Makan Minum","I","7580778.8591329","85.110994719088","14.889005280912","91.561224075832","8.4387759241678","1.631330946371","0.27704439976894","0.37703635627231","0.053701565105678"
"Aceh","11","Informasi dan Komunikasi","J","5132679.0409635","86.540039299772","13.459960700228","95.389802770503","4.6101972294969","1.2402062205026","0.32976740516634","0.19944621535208","0.062497733166007"
"Aceh","11","Jasa Keuangan dan Asuransi","K","3841498.8355867","81.116824994373","18.883175005627","85.024342820853","14.975657179147","1.2068371870834","0.20849775818979","0.42094782636343","0.04586698689381"
"Aceh","11","Real Estate","L","10645019.09825","99.08151226606","0.91848773394018","96.236471146525","3.7635288534749","1.3707674591339","0.21634243339905","0.13345854904212","0.041722262158468"
"Aceh","11","Jasa Perusahaan","MN","2866515.1691694","83.795446263679","16.204553736321","79.468078699744","20.531921300256","1.3804930680035","0.39312642083024","0.36719826168608","0.072118766450289"
"Aceh","11","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","O","23124367.561986","100","0","99.958628202317","0.041371797682747","1.3918680050727","0.37421504389705","0.44798322965843","0.07193883693522"
"Aceh","11","Jasa Pendidikan","P","11392677.403825","99.088420660478","0.91157933952161","99.64967568215","0.35032431785046","1.3039019556884","0.28321903646044","0.61603690756171","0.052284397937649"
"Aceh","11","Jasa Kesehatan dan Kegiatan Sosial","Q","5566954.1612125","94.324768341782","5.6752316582179","89.808159422933","10.191840577067","1.4996905625508","0.35267927414366","0.47197690363681","0.064842671935404"
"Aceh","11","Jasa Lainnya","RSTU","3987038.5298879","87.64777234049","12.35222765951","85.101369663201","14.898630336799","1.3399649168477","0.27762887398582","0.47084985314268","0.054844412252797"
"Sumatera Utara","12","Pertanian, Kehutanan, dan Perikanan","A","134687233.83266","88.184861676496","11.815138323504","81.185527252592","18.814472747408","1.2679489326458","0.10921085595648","0.36123725637539","0.023631895680329"
"Sumatera Utara","12","Pertambangan dan Penggalian ","B","16338162.464311","10.578824238854","89.421175761146","41.199832156912","58.800167843088","1.4261007306202","0.34379485440891","0.30831379979467","0.064859482986807"
"Sumatera Utara","12","Industri Pengolahan","C","407438473.1901","78.839954098861","21.160045901139","45.157837981574","54.842162018426","1.7884827076327","0.31320509994545","0.20841020114697","0.063606531542398"
"Sumatera Utara","12","Pengadaan Listrik dan Gas","D","30408601.526954","98.601277498155","1.3987225018451","99.711519119786","0.2884808802138","1.6647108341343","1.4642554231907","0.11526132408079","0.1881555280501"
"Sumatera Utara","12","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","E","1245483.3832483","96.917537693588","3.0824623064124","69.984787058255","30.015212941745","1.474337552095","0.26582082678766","0.18601668864343","0.048248858914302"
"Sumatera Utara","12","Konstruksi","F","144691896.48888","99.955468391837","0.044531608163159","99.992608896039","0.0073911039606901","1.6343287989421","0.48519743061634","0.31284094844558","0.079096085619823"
"Sumatera Utara","12","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","G","123991921.17404","87.0385900585","12.9614099415","65.274192477118","34.725807522882","1.3211839879441","0.24390071478167","0.37092798438731","0.043946865075134"
"Sumatera Utara","12","Transportasi dan Pergudangan ","H","80048146.934896","84.631667013768","15.368332986232","75.951223978303","24.048776021697","1.5057929266372","0.3806970755336","0.2431421949629","0.070651495248195"
"Sumatera Utara","12","Penyediaan Akomodasi dan Makan Minum","I","34877567.532992","83.845518232088","16.154481767912","84.038718670127","15.961281329873","1.6168615822235","0.27506290607123","0.33752822660366","0.058634538225342"
